h	k	l	d (Å)	F(real)	F(imag)	|F|	2θ	I		M ID(λ)	Phase
6	2	3	1.205927	114.201804	28.997064	117.826	79.39869	0.85611	2	1	1
2	0	-7	1.065948	-126.611061	-18.661747	127.979	92.54574	0.85132	2	1	1
4	4	0	0.949569	-94.471003	83.258849	125.924	108.42787	0.84871	2	1	1
14	2	0	0.923412	-115.555409	-40.336445	122.393	113.0621	0.8431	2	1	1
5	1	-8	0.913719	13.539979	-119.868923	120.631	114.92384	0.83941	2	1	1
8	4	0	0.866162	100.632452	43.954147	109.813	125.57625	0.83567	2	1	1
17	-1	-1	0.861769	41.847546	-100.050482	108.45	126.72333	0.83459	2	1	1
7	-3	3	0.959355	-26.188813	122.667555	125.432	106.82196	0.83083	2	1	1
11	-3	-2	0.94822	-8.188945	124.173072	124.443	108.65445	0.83058	2	1	1
4	0	-5	1.491013	91.012879	6.169215	91.2217	62.21246	0.83003	2	1	1
14	0	-7	0.858946	-105.456067	-18.256624	107.025	127.47936	0.82592	2	1	1
11	3	-3	0.931606	32.884825	-117.736969	122.243	111.55263	0.82591	2	1	1
17	1	-1	0.861769	-16.670359	106.369566	107.668	126.72333	0.82261	2	1	1
8	4	-2	0.867464	86.928522	-65.85946	109.06	125.24275	0.8187	2	1	1
7	-1	-2	1.828191	-50.388209	48.836835	70.1713	49.83886	0.81088	2	1	1
4	-2	6	0.937563	-108.299391	-55.624648	121.749	110.48945	0.80966	2	1	1
15	-1	1	0.909803	48.242609	-107.265158	117.614	115.70113	0.80677	2	1	1
4	2	6	0.937563	-120.653513	-4.951858	120.755	110.48945	0.7965	2	1	1
9	-1	-2	1.527764	-58.141564	63.934991	86.4183	60.55634	0.7909	2	1	1
1	3	6	0.876762	1.710546	-109.485884	109.499	122.94061	0.78907	2	1	1
6	-2	3	1.205927	112.658545	6.938696	112.872	79.39869	0.78563	2	1	1
5	-1	0	2.348866	41.960034	29.550978	51.3216	38.28806	0.7845	2	1	1
2	0	-5	1.500967	87.75415	5.455165	87.9235	61.75447	0.7838	2	1	1
15	1	1	0.909803	-14.58388	114.767622	115.691	115.70113	0.78059	2	1	1
1	-3	6	0.876762	-53.19689	94.376874	108.337	122.94061	0.77241	2	1	1
14	-2	0	0.923412	-116.932265	-2.52593	116.96	113.0621	0.7699	2	1	1
2	-4	-2	0.949543	39.779359	113.088469	119.881	108.43221	0.76924	2	1	1
4	0	-1	3.685409	30.898771	1.269346	30.9248	24.12897	0.7683	2	1	1
11	-1	-6	1.008509	-46.842961	113.242053	122.548	99.60029	0.76758	2	1	1
1	3	2	1.219363	53.685483	-96.153159	110.125	78.35431	0.76398	2	1	1
9	-3	2	0.942505	-10.858666	118.099245	118.597	109.62804	0.76148	2	1	1
