h	k	l	d_spacing (Å)	theta (deg)	phi (deg)	delta (deg)	nu (deg)	qerror	errcode	hkl_back
1	-1	6	1.1296	0.0	0.0	60.0	54.6192	2.7698	0	[ 6.9512 -1.5111  4.0956]
0	2	3	1.5255	0.0	0.0	0.0	16.644	3.9989	0	[ 3.084  -0.      0.2415]
2	-2	4	1.2685	0.0	0.0	60.0	26.9129	0.9414	0	[ 3.3654 -2.3271  3.1944]
7	1	-8	0.9018	110.1269	0.0	0.0	60.0	2.5344	0	[ 4.9692 -0.     -5.6791]
12	0	-1	1.2593	39.6363	0.0	0.0	60.0	0.1752	0	[11.5787 -0.     -0.9649]
12	2	1	0.9954	21.1745	0.0	0.0	60.0	3.2566	0	[10.6124  0.      0.8844]
7	-1	-8	0.9018	120.0	0.0	60.0	60.0	1.3611	0	[ 5.9067 -1.3049 -6.485 ]
11	1	1	1.1926	20.4236	0.0	0.0	60.0	1.6108	0	[10.5489  0.      0.959 ]
4	-2	1	1.639	22.8787	0.0	44.179	17.7621	0.0	0	[ 4. -2.  1.]
1	-3	4	1.0479	0.0	0.0	60.0	15.4352	1.1491	0	[ 1.3847 -2.5156  2.9862]
3	-3	-4	1.0734	120.0	0.0	59.4729	25.9659	1.3744	0	[ 4.8349 -2.3338 -3.7518]
4	-4	-2	0.9345	120.0	0.0	60.0	6.688	2.3188	0	[ 5.3278 -2.592  -2.0323]
6	0	7	0.8739	0.0	0.0	0.0	60.0	3.4391	0	[8.1708 0.     2.8822]
12	-2	1	0.9954	32.6553	0.0	60.0	50.4212	0.7288	0	[10.918  -1.6628  0.9098]
6	2	-6	1.0365	106.5981	0.0	0.0	60.0	3.2129	0	[ 5.6075 -0.     -5.6075]
8	2	-5	1.0962	90.9607	0.0	0.0	59.2387	3.1952	0	[ 8. -0. -5.]
